value,quality,type,time(msec)
22,39,1,121920
48,1,3,122096
100,1,4,122096
0,39,0,122170
22,39,1,122170
0,25,0,122420
22,25,1,122420
0,25,0,122670
22,25,1,122670
2610,0,5,122670
31,0,2,122670
0,25,0,122920
22,25,1,122920
0,25,0,123170
22,25,1,123170
48,5,3,123260
100,5,4,123260
0,28,0,123420
22,28,1,123420
0,28,0,123670
22,28,1,123670
0,28,0,123920
22,28,1,123920
0,28,0,124170
22,28,1,124170
48,5,3,124217
100,5,4,124217
0,28,0,124420
22,28,1,124420
0,34,0,124670
22,34,1,124670
2610,0,5,124670
31,0,2,124670
0,34,0,124920
22,34,1,124920
48,1,3,125106
100,1,4,125106
0,34,0,125170
22,34,1,125170
0,34,0,125420
22,34,1,125420
0,34,0,125670
22,34,1,125670
0,34,0,125920
22,34,1,125920
0,34,0,126170
22,34,1,126170
48,129,3,126320
100,129,4,126320
0,34,0,126420
22,34,1,126420
0,34,0,126670
22,34,1,126670
2610,0,5,126670
31,0,2,126670
0,34,0,126920
22,34,1,126920
0,38,0,127170
22,38,1,127170
48,129,3,127235
100,129,4,127235
0,38,0,127420
22,38,1,127420
0,38,0,127670
22,38,1,127670
0,38,0,127920
22,38,1,127920
48,129,3,128103
100,129,4,128103
0,38,0,128170
22,38,1,128170
0,26,0,128420
22,26,1,128420
0,26,0,128670
22,26,1,128670
2610,0,5,128670
31,0,2,128670
0,26,0,128920
22,26,1,128920
0,26,0,129170
22,26,1,129170
48,129,3,129292
100,129,4,129292
0,24,0,129420
22,24,1,129420
0,24,0,129670
22,24,1,129670
0,24,0,129920
22,24,1,129920
0,24,0,130170
22,24,1,130170
48,129,3,130232
100,129,4,130232
0,24,0,130420
22,24,1,130420
0,45,0,130670
22,45,1,130670
2609,0,5,130670
31,0,2,130670
0,45,0,130920
22,45,1,130920
0,45,0,131170
22,45,1,131170
49,129,3,131213
100,129,4,131213
0,45,0,131420
22,45,1,131420
0,45,0,131670
22,45,1,131670
0,44,0,131920
22,44,1,131920
0,44,0,132170
22,44,1,132170
49,129,3,132353
100,129,4,132353
0,44,0,132420
22,44,1,132420
0,44,0,132670
22,44,1,132670
2609,0,5,132670
31,0,2,132670
0,44,0,132920
22,44,1,132920
0,30,0,133170
22,30,1,133170
49,5,3,133234
100,5,4,133234
0,30,0,133420
22,30,1,133420
0,30,0,133670
22,30,1,133670
0,30,0,133920
22,30,1,133920
0,30,0,134170
22,30,1,134170
49,1,3,134213
100,1,4,134213
0,32,0,134420
22,32,1,134420
0,32,0,134670
22,32,1,134670
2610,0,5,134670
31,0,2,134670
0,32,0,134920
22,32,1,134920
0,32,0,135170
22,32,1,135170
49,129,3,135345
100,129,4,135345
0,32,0,135420
22,32,1,135420
0,34,0,135670
22,34,1,135670
0,34,0,135920
22,34,1,135920
0,34,0,136170
22,34,1,136170
49,129,3,136249
100,129,4,136249
0,34,0,136420
22,34,1,136420
0,36,0,136670
22,36,1,136670
2609,0,5,136670
31,0,2,136670
0,36,0,136920
22,36,1,136920
0,36,0,137170
22,36,1,137170
50,129,3,137213
100,129,4,137213
0,36,0,137420
22,36,1,137420
0,36,0,137670
22,36,1,137670
0,31,0,137920
22,31,1,137920
50,129,3,138049
100,129,4,138049
0,31,0,138170
22,31,1,138170
0,31,0,138420
22,31,1,138420
0,31,0,138670
22,31,1,138670
2609,0,5,138670
31,0,2,138670
0,31,0,138920
22,31,1,138920
0,32,0,139170
22,32,1,139170
50,129,3,139277
100,129,4,139277
0,32,0,139420
22,32,1,139420
0,32,0,139670
22,32,1,139670
0,32,0,139920
22,32,1,139920
0,32,0,140170
22,32,1,140170
50,1,3,140211
100,1,4,140211
0,27,0,140420
22,27,1,140420
0,27,0,140670
